# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
potassium;60;1682725242;-1;2.35;0.00;4.66;0.03;0.23;92.73
potassium;60;1682725242;0;2.35;0.00;4.66;0.03;0.23;92.73
potassium;60;1682725302;-1;0.92;0.00;3.66;0.00;0.18;95.23
potassium;60;1682725302;0;0.92;0.00;3.66;0.00;0.18;95.23
potassium;60;1682725362;-1;0.89;0.00;3.70;0.00;0.13;95.28
potassium;60;1682725362;0;0.89;0.00;3.70;0.00;0.13;95.28
potassium;60;1682725422;-1;0.86;0.00;3.65;0.00;0.07;95.43
potassium;60;1682725422;0;0.86;0.00;3.65;0.00;0.07;95.43
potassium;60;1682725482;-1;0.91;0.00;3.59;0.00;0.12;95.38
potassium;60;1682725482;0;0.91;0.00;3.59;0.00;0.12;95.38
potassium;60;1682725542;-1;0.87;0.00;3.74;0.03;0.12;95.23
potassium;60;1682725542;0;0.87;0.00;3.74;0.03;0.12;95.23
potassium;60;1682725602;-1;0.92;0.00;3.77;0.00;0.18;95.12
potassium;60;1682725602;0;0.92;0.00;3.77;0.00;0.18;95.12
potassium;60;1682725662;-1;0.89;0.00;3.60;0.00;0.15;95.36
potassium;60;1682725662;0;0.89;0.00;3.60;0.00;0.15;95.36
potassium;60;1682725722;-1;0.86;0.00;3.61;0.00;0.12;95.42
potassium;60;1682725722;0;0.86;0.00;3.61;0.00;0.12;95.42
potassium;60;1682725782;-1;0.91;0.00;3.66;0.00;0.10;95.34
potassium;60;1682725782;0;0.91;0.00;3.66;0.00;0.10;95.34
potassium;60;1682725842;-1;0.89;0.00;3.71;0.08;0.10;95.22
potassium;60;1682725842;0;0.89;0.00;3.71;0.08;0.10;95.22
potassium;60;1682725902;-1;0.90;0.00;3.62;0.02;0.28;95.17
potassium;60;1682725902;0;0.90;0.00;3.62;0.02;0.28;95.17
potassium;60;1682725962;-1;0.92;0.00;3.81;0.00;0.12;95.15
potassium;60;1682725962;0;0.92;0.00;3.81;0.00;0.12;95.15
potassium;60;1682726022;-1;0.91;0.00;3.84;0.02;0.10;95.13
potassium;60;1682726022;0;0.91;0.00;3.84;0.02;0.10;95.13
potassium;60;1682726082;-1;0.87;0.00;3.71;0.00;0.10;95.32
potassium;60;1682726082;0;0.87;0.00;3.71;0.00;0.10;95.32
potassium;60;1682726142;-1;0.85;0.00;3.70;0.00;0.18;95.26
potassium;60;1682726142;0;0.85;0.00;3.70;0.00;0.18;95.26
potassium;60;1682726202;-1;0.89;0.00;3.84;0.00;0.20;95.07
potassium;60;1682726202;0;0.89;0.00;3.84;0.00;0.20;95.07
potassium;60;1682726262;-1;0.92;0.00;3.80;0.00;0.15;95.12
potassium;60;1682726262;0;0.92;0.00;3.80;0.00;0.15;95.12
potassium;60;1682726322;-1;0.92;0.00;3.59;0.00;0.25;95.24
potassium;60;1682726322;0;0.92;0.00;3.59;0.00;0.25;95.24
potassium;60;1682726382;-1;0.91;0.00;3.67;0.00;0.22;95.20
potassium;60;1682726382;0;0.91;0.00;3.67;0.00;0.22;95.20
potassium;60;1682726442;-1;0.92;0.00;3.80;0.00;0.25;95.03
potassium;60;1682726442;0;0.92;0.00;3.80;0.00;0.25;95.03
potassium;60;1682726502;-1;0.92;0.00;3.87;0.03;0.07;95.10
potassium;60;1682726502;0;0.92;0.00;3.87;0.03;0.07;95.10
potassium;60;1682726562;-1;0.82;0.00;3.72;0.02;0.12;95.32
potassium;60;1682726562;0;0.82;0.00;3.72;0.02;0.12;95.32
potassium;60;1682726622;-1;0.96;0.00;3.60;0.00;0.23;95.21
potassium;60;1682726622;0;0.96;0.00;3.60;0.00;0.23;95.21
potassium;60;1682726682;-1;0.89;0.00;3.71;0.00;0.12;95.29
potassium;60;1682726682;0;0.89;0.00;3.71;0.00;0.12;95.29
potassium;60;1682726742;-1;0.89;0.00;3.76;0.00;0.12;95.23
potassium;60;1682726742;0;0.89;0.00;3.76;0.00;0.12;95.23
potassium;60;1682726802;-1;0.87;0.00;3.79;0.02;0.08;95.23
potassium;60;1682726802;0;0.87;0.00;3.79;0.02;0.08;95.23
potassium;60;1682726862;-1;0.81;0.00;3.69;0.00;0.13;95.37
potassium;60;1682726862;0;0.81;0.00;3.69;0.00;0.13;95.37
potassium;60;1682726922;-1;0.89;0.00;3.73;0.00;0.28;95.09
potassium;60;1682726922;0;0.89;0.00;3.73;0.00;0.28;95.09
potassium;60;1682726982;-1;0.92;0.00;3.79;0.00;0.12;95.17
potassium;60;1682726982;0;0.92;0.00;3.79;0.00;0.12;95.17
potassium;60;1682727042;-1;0.84;0.00;3.86;0.00;0.10;95.20
potassium;60;1682727042;0;0.84;0.00;3.86;0.00;0.10;95.20
potassium;60;1682727102;-1;0.91;0.00;3.64;0.02;0.12;95.32
potassium;60;1682727102;0;0.91;0.00;3.64;0.02;0.12;95.32
potassium;60;1682727162;-1;0.92;0.49;3.85;0.00;0.10;94.64
potassium;60;1682727162;0;0.92;0.49;3.85;0.00;0.10;94.64
potassium;60;1682727222;-1;0.89;0.00;3.86;0.00;0.15;95.10
potassium;60;1682727222;0;0.89;0.00;3.86;0.00;0.15;95.10
potassium;60;1682727282;-1;0.89;0.00;3.81;0.00;0.10;95.20
potassium;60;1682727282;0;0.89;0.00;3.81;0.00;0.10;95.20
potassium;60;1682727342;-1;0.92;0.00;3.65;0.00;0.22;95.21
potassium;60;1682727342;0;0.92;0.00;3.65;0.00;0.22;95.21
potassium;60;1682727402;-1;0.87;0.00;3.78;0.02;0.10;95.23
potassium;60;1682727402;0;0.87;0.00;3.78;0.02;0.10;95.23
potassium;60;1682727462;-1;0.94;0.00;3.69;0.00;0.10;95.27
potassium;60;1682727462;0;0.94;0.00;3.69;0.00;0.10;95.27
potassium;60;1682727522;-1;0.92;0.00;3.86;0.00;0.35;94.87
potassium;60;1682727522;0;0.92;0.00;3.86;0.00;0.35;94.87
potassium;60;1682727582;-1;0.94;0.00;3.63;0.00;0.17;95.26
potassium;60;1682727582;0;0.94;0.00;3.63;0.00;0.17;95.26
potassium;60;1682727642;-1;0.94;0.00;3.71;0.00;0.20;95.15
potassium;60;1682727642;0;0.94;0.00;3.71;0.00;0.20;95.15
potassium;60;1682727702;-1;0.90;0.00;3.72;0.02;0.15;95.21
potassium;60;1682727702;0;0.90;0.00;3.72;0.02;0.15;95.21
potassium;60;1682727762;-1;0.89;0.00;3.67;0.00;0.17;95.27
potassium;60;1682727762;0;0.89;0.00;3.67;0.00;0.17;95.27
potassium;60;1682727822;-1;0.91;0.00;3.84;0.00;0.12;95.14
potassium;60;1682727822;0;0.91;0.00;3.84;0.00;0.12;95.14
potassium;60;1682727882;-1;0.87;0.00;3.82;0.00;0.17;95.14
potassium;60;1682727882;0;0.87;0.00;3.82;0.00;0.17;95.14
potassium;60;1682727942;-1;0.91;0.00;3.74;0.00;0.10;95.25
potassium;60;1682727942;0;0.91;0.00;3.74;0.00;0.10;95.25
potassium;60;1682728002;-1;0.97;0.00;3.60;0.02;0.25;95.16
potassium;60;1682728002;0;0.97;0.00;3.60;0.02;0.25;95.16
potassium;60;1682728062;-1;0.89;0.00;3.43;0.00;0.20;95.48
potassium;60;1682728062;0;0.89;0.00;3.43;0.00;0.20;95.48
potassium;60;1682728122;-1;0.86;0.00;3.42;0.00;0.22;95.51
potassium;60;1682728122;0;0.86;0.00;3.42;0.00;0.22;95.51
potassium;60;1682728182;-1;0.91;0.00;3.80;0.02;0.05;95.23
potassium;60;1682728182;0;0.91;0.00;3.80;0.02;0.05;95.23
potassium;60;1682728242;-1;0.92;0.00;3.69;0.00;0.10;95.28
potassium;60;1682728242;0;0.92;0.00;3.69;0.00;0.10;95.28
potassium;60;1682728302;-1;0.96;0.00;3.60;0.02;0.17;95.26
potassium;60;1682728302;0;0.96;0.00;3.60;0.02;0.17;95.26
potassium;60;1682728362;-1;0.89;0.00;3.68;0.00;0.08;95.35
potassium;60;1682728362;0;0.89;0.00;3.68;0.00;0.08;95.35
potassium;60;1682728422;-1;0.94;0.00;3.69;0.02;0.15;95.20
potassium;60;1682728422;0;0.94;0.00;3.69;0.02;0.15;95.20
potassium;60;1682728482;-1;0.97;0.00;3.71;0.00;0.37;94.95
potassium;60;1682728482;0;0.97;0.00;3.71;0.00;0.37;94.95
potassium;60;1682728542;-1;0.92;0.00;3.66;0.00;0.17;95.25
potassium;60;1682728542;0;0.92;0.00;3.66;0.00;0.17;95.25
potassium;60;1682728602;-1;0.87;0.00;3.66;0.00;0.07;95.39
potassium;60;1682728602;0;0.87;0.00;3.66;0.00;0.07;95.39
potassium;60;1682728662;-1;0.92;0.00;3.59;0.00;0.18;95.30
potassium;60;1682728662;0;0.92;0.00;3.59;0.00;0.18;95.30
potassium;60;1682728722;-1;1.00;0.00;3.78;0.00;0.18;95.03
potassium;60;1682728722;0;1.00;0.00;3.78;0.00;0.18;95.03
potassium;60;1682728782;-1;0.90;0.00;3.73;0.00;0.27;95.09
potassium;60;1682728782;0;0.90;0.00;3.73;0.00;0.27;95.09
