name,setting,source
allow_system_table_mods,off,default
application_name,psql,client
archive_cleanup_command,"",default
archive_command,(disabled),default
archive_mode,off,default
archive_timeout,0,default
array_nulls,on,default
authentication_timeout,60,default
autovacuum,on,default
autovacuum_analyze_scale_factor,0.1,default
autovacuum_analyze_threshold,50,default
autovacuum_freeze_max_age,200000000,default
autovacuum_max_workers,3,default
autovacuum_multixact_freeze_max_age,400000000,default
autovacuum_naptime,60,default
autovacuum_vacuum_cost_delay,2,default
autovacuum_vacuum_cost_limit,-1,default
autovacuum_vacuum_insert_scale_factor,0.2,default
autovacuum_vacuum_insert_threshold,1000,default
autovacuum_vacuum_scale_factor,0.2,default
autovacuum_vacuum_threshold,50,default
autovacuum_work_mem,-1,default
backend_flush_after,0,default
backslash_quote,safe_encoding,default
backtrace_functions,"",default
bgwriter_delay,200,default
bgwriter_flush_after,64,default
bgwriter_lru_maxpages,100,default
bgwriter_lru_multiplier,2,default
block_size,8192,default
bonjour,off,default
bonjour_name,"",default
bytea_output,hex,default
check_function_bodies,on,default
checkpoint_completion_target,0.9,default
checkpoint_flush_after,32,default
checkpoint_timeout,300,default
checkpoint_warning,30,default
client_connection_check_interval,0,default
client_encoding,UTF8,default
client_min_messages,notice,default
cluster_name,"",default
commit_delay,0,default
commit_siblings,5,default
compute_query_id,auto,default
config_file,/opt/pgdata/postgresql.conf,override
constraint_exclusion,partition,default
cpu_index_tuple_cost,0.005,default
cpu_operator_cost,0.0025,default
cpu_tuple_cost,0.01,default
cursor_tuple_fraction,0.1,default
data_checksums,off,override
data_directory,/opt/pgdata,override
data_directory_mode,0700,default
data_sync_retry,off,default
DateStyle,"ISO, MDY",configuration file
db_user_namespace,off,default
deadlock_timeout,1000,default
debug_assertions,off,default
debug_discard_caches,0,default
debug_pretty_print,on,default
debug_print_parse,off,default
debug_print_plan,off,default
debug_print_rewritten,off,default
default_statistics_target,100,default
default_table_access_method,heap,default
default_tablespace,"",default
default_text_search_config,pg_catalog.english,configuration file
default_toast_compression,pglz,default
default_transaction_deferrable,off,default
default_transaction_isolation,read committed,default
default_transaction_read_only,off,default
dynamic_library_path,$libdir,default
dynamic_shared_memory_type,posix,configuration file
effective_cache_size,524288,default
effective_io_concurrency,1,default
enable_async_append,on,default
enable_bitmapscan,on,default
enable_gathermerge,on,default
enable_hashagg,on,default
enable_hashjoin,on,default
enable_incremental_sort,on,default
enable_indexonlyscan,on,default
enable_indexscan,on,default
enable_material,on,default
enable_memoize,on,default
enable_mergejoin,on,default
enable_nestloop,on,default
enable_parallel_append,on,default
enable_parallel_hash,on,default
enable_partition_pruning,on,default
enable_partitionwise_aggregate,off,default
enable_partitionwise_join,off,default
enable_seqscan,on,default
enable_sort,on,default
enable_tidscan,on,default
escape_string_warning,on,default
event_source,PostgreSQL,default
exit_on_error,off,default
external_pid_file,"",default
extra_float_digits,1,default
force_parallel_mode,off,default
from_collapse_limit,8,default
fsync,on,default
full_page_writes,on,default
geqo,on,default
geqo_effort,5,default
geqo_generations,0,default
geqo_pool_size,0,default
geqo_seed,0,default
geqo_selection_bias,2,default
geqo_threshold,12,default
gin_fuzzy_search_limit,0,default
gin_pending_list_limit,4096,default
hash_mem_multiplier,1,default
hba_file,/opt/pgdata/pg_hba.conf,override
hot_standby,on,default
hot_standby_feedback,off,default
huge_pages,try,default
huge_page_size,0,default
ident_file,/opt/pgdata/pg_ident.conf,override
idle_in_transaction_session_timeout,0,default
idle_session_timeout,0,default
ignore_checksum_failure,off,default
ignore_invalid_pages,off,default
ignore_system_indexes,off,default
in_hot_standby,off,default
integer_datetimes,on,default
IntervalStyle,postgres,default
jit,on,default
jit_above_cost,100000,default
jit_debugging_support,off,default
jit_dump_bitcode,off,default
jit_expressions,on,default
jit_inline_above_cost,500000,default
jit_optimize_above_cost,500000,default
jit_profiling_support,off,default
jit_provider,llvmjit,default
jit_tuple_deforming,on,default
join_collapse_limit,8,default
krb_caseins_users,off,default
krb_server_keyfile,FILE:/etc/krb5.keytab,default
lc_collate,en_US.utf8,override
lc_ctype,en_US.utf8,override
lc_messages,en_US.utf8,configuration file
lc_monetary,en_US.utf8,configuration file
lc_numeric,en_US.utf8,configuration file
lc_time,en_US.utf8,configuration file
listen_addresses,*,configuration file
local_preload_libraries,"",default
lock_timeout,0,default
lo_compat_privileges,off,default
log_autovacuum_min_duration,-1,default
log_checkpoints,off,default
log_connections,off,default
log_destination,stderr,default
log_directory,log,default
log_disconnections,off,default
log_duration,off,default
log_error_verbosity,default,default
log_executor_stats,off,default
log_file_mode,0600,default
log_filename,postgresql.log,configuration file
logging_collector,off,configuration file
log_hostname,off,default
logical_decoding_work_mem,65536,default
log_line_prefix,%m [%p] ,default
log_lock_waits,off,default
log_min_duration_sample,-1,default
log_min_duration_statement,-1,default
log_min_error_statement,error,default
log_min_messages,warning,default
log_parameter_max_length,-1,default
log_parameter_max_length_on_error,0,default
log_parser_stats,off,default
log_planner_stats,off,default
log_recovery_conflict_waits,off,default
log_replication_commands,off,default
log_rotation_age,1440,configuration file
log_rotation_size,0,configuration file
log_statement,none,default
log_statement_sample_rate,1,default
log_statement_stats,off,default
log_temp_files,-1,default
log_timezone,America/Los_Angeles,configuration file
log_transaction_sample_rate,0,default
log_truncate_on_rotation,on,configuration file
maintenance_io_concurrency,10,default
maintenance_work_mem,65536,default
max_connections,500,configuration file
max_files_per_process,1000,default
max_function_args,100,default
max_identifier_length,63,default
max_index_keys,32,default
max_locks_per_transaction,64,default
max_logical_replication_workers,4,default
max_parallel_maintenance_workers,2,default
max_parallel_workers,8,default
max_parallel_workers_per_gather,2,default
max_pred_locks_per_page,2,default
max_pred_locks_per_relation,-2,default
max_pred_locks_per_transaction,64,default
max_prepared_transactions,0,default
max_replication_slots,10,default
max_slot_wal_keep_size,-1,default
max_stack_depth,2048,environment variable
max_standby_archive_delay,30000,default
max_standby_streaming_delay,30000,default
max_sync_workers_per_subscription,2,default
max_wal_senders,10,default
max_wal_size,1024,configuration file
max_worker_processes,8,default
min_dynamic_shared_memory,0,default
min_parallel_index_scan_size,64,default
min_parallel_table_scan_size,1024,default
min_wal_size,80,configuration file
old_snapshot_threshold,-1,default
parallel_leader_participation,on,default
parallel_setup_cost,1000,default
parallel_tuple_cost,0.1,default
password_encryption,scram-sha-256,default
plan_cache_mode,auto,default
port,5432,default
post_auth_delay,0,default
pre_auth_delay,0,default
primary_conninfo,"",default
primary_slot_name,"",default
promote_trigger_file,"",default
quote_all_identifiers,off,default
random_page_cost,4,default
recovery_end_command,"",default
recovery_init_sync_method,fsync,default
recovery_min_apply_delay,0,default
recovery_target,"",default
recovery_target_action,pause,default
recovery_target_inclusive,on,default
recovery_target_lsn,"",default
recovery_target_name,"",default
recovery_target_time,"",default
recovery_target_timeline,latest,default
recovery_target_xid,"",default
remove_temp_files_after_crash,on,default
restart_after_crash,on,default
restore_command,"",default
row_security,on,default
search_path,"""$user"", public",default
segment_size,131072,default
seq_page_cost,1,default
server_encoding,UTF8,override
server_version,14.3,default
server_version_num,140003,default
session_preload_libraries,"",default
session_replication_role,origin,default
shared_buffers,16384,configuration file
shared_memory_type,mmap,default
shared_preload_libraries,"",default
ssl,off,default
ssl_ca_file,"",default
ssl_cert_file,server.crt,default
ssl_ciphers,HIGH:MEDIUM:+3DES:!aNULL,default
ssl_crl_dir,"",default
ssl_crl_file,"",default
ssl_dh_params_file,"",default
ssl_ecdh_curve,prime256v1,default
ssl_key_file,server.key,default
ssl_library,OpenSSL,default
ssl_max_protocol_version,"",default
ssl_min_protocol_version,TLSv1.2,default
ssl_passphrase_command,"",default
ssl_passphrase_command_supports_reload,off,default
ssl_prefer_server_ciphers,on,default
standard_conforming_strings,on,default
statement_timeout,0,default
stats_temp_directory,pg_stat_tmp,default
superuser_reserved_connections,3,default
synchronize_seqscans,on,default
synchronous_commit,on,default
synchronous_standby_names,"",default
syslog_facility,local0,default
syslog_ident,postgres,default
syslog_sequence_numbers,on,default
syslog_split_messages,on,default
tcp_keepalives_count,9,default
tcp_keepalives_idle,7200,default
tcp_keepalives_interval,75,default
tcp_user_timeout,0,default
temp_buffers,1024,default
temp_file_limit,-1,default
temp_tablespaces,"",default
TimeZone,America/Los_Angeles,configuration file
timezone_abbreviations,Default,default
trace_notify,off,default
trace_recovery_messages,log,default
trace_sort,off,default
track_activities,on,default
track_activity_query_size,1024,default
track_commit_timestamp,off,default
track_counts,on,default
track_functions,none,default
track_io_timing,off,default
track_wal_io_timing,off,default
transaction_deferrable,off,override
transaction_isolation,read committed,override
transaction_read_only,off,override
transform_null_equals,off,default
unix_socket_directories,"/var/run/postgresql, /tmp",default
unix_socket_group,"",default
unix_socket_permissions,0777,default
update_process_title,on,default
vacuum_cost_delay,0,default
vacuum_cost_limit,200,default
vacuum_cost_page_dirty,20,default
vacuum_cost_page_hit,1,default
vacuum_cost_page_miss,2,default
vacuum_defer_cleanup_age,0,default
vacuum_failsafe_age,1600000000,default
vacuum_freeze_min_age,50000000,default
vacuum_freeze_table_age,150000000,default
vacuum_multixact_failsafe_age,1600000000,default
vacuum_multixact_freeze_min_age,5000000,default
vacuum_multixact_freeze_table_age,150000000,default
wal_block_size,8192,default
wal_buffers,512,override
wal_compression,off,default
wal_consistency_checking,"",default
wal_init_zero,on,default
wal_keep_size,0,default
wal_level,replica,default
wal_log_hints,off,default
wal_receiver_create_temp_slot,off,default
wal_receiver_status_interval,10,default
wal_receiver_timeout,60000,default
wal_recycle,on,default
wal_retrieve_retry_interval,5000,default
wal_segment_size,16777216,override
wal_sender_timeout,60000,default
wal_skip_threshold,2048,default
wal_sync_method,fdatasync,default
wal_writer_delay,200,default
wal_writer_flush_after,128,default
work_mem,4096,default
xmlbinary,base64,default
xmloption,content,default
zero_damaged_pages,off,default
