ctime,wal_records,wal_fpi,wal_bytes,wal_buffers_full,wal_write,wal_sync,wal_write_time,wal_sync_time,stats_reset
1707240366.002915,46269834,2817102,60251346302,942313,974570,32569,0,0,2024-01-16 15:04:47.848815-06
1707240426.061135,46270101,2817182,60251876712,942313,974587,32586,0,0,2024-01-16 15:04:47.848815-06
1707240486.097012,46270153,2817195,60251967090,942313,974597,32596,0,0,2024-01-16 15:04:47.848815-06
1707240546.176024,46270179,2817202,60252022838,942313,974604,32603,0,0,2024-01-16 15:04:47.848815-06
1707240606.152752,46270230,2817217,60252141371,942313,974617,32616,0,0,2024-01-16 15:04:47.848815-06
1707240666.141502,46270358,2817241,60252333492,942313,974635,32633,0,0,2024-01-16 15:04:47.848815-06
1707240726.180510,46270501,2817328,60252990305,942313,974650,32648,0,0,2024-01-16 15:04:47.848815-06
1707240786.657209,46270543,2817335,60253040981,942313,974658,32656,0,0,2024-01-16 15:04:47.848815-06
1707240846.314093,46271120,2817494,60254310434,942313,974707,32705,0,0,2024-01-16 15:04:47.848815-06
1707240906.284297,46271338,2817591,60255051278,942313,974732,32730,0,0,2024-01-16 15:04:47.848815-06
1707240966.320764,46271825,2817791,60256583407,942313,974779,32777,0,0,2024-01-16 15:04:47.848815-06
1707241026.458901,46272262,2817924,60257645414,942313,974812,32810,0,0,2024-01-16 15:04:47.848815-06
1707241086.339628,46272292,2817933,60257715305,942313,974825,32822,0,0,2024-01-16 15:04:47.848815-06
1707241146.635314,46272526,2818034,60258493402,942313,974846,32843,0,0,2024-01-16 15:04:47.848815-06
1707241206.472562,46272607,2818054,60258652221,942313,974858,32855,0,0,2024-01-16 15:04:47.848815-06
1707241266.642398,46272831,2818087,60258919823,942313,974889,32886,0,0,2024-01-16 15:04:47.848815-06
1707241326.541946,46273051,2818124,60259217751,942313,974906,32903,0,0,2024-01-16 15:04:47.848815-06
1707241386.615064,46273362,2818200,60259828755,942313,974949,32945,0,0,2024-01-16 15:04:47.848815-06
1707241446.668774,46273557,2818281,60260368842,942313,974965,32961,0,0,2024-01-16 15:04:47.848815-06
1707241506.782135,46273687,2818297,60260504610,942313,974972,32968,0,0,2024-01-16 15:04:47.848815-06
1707241566.958062,46273871,2818375,60261120963,942313,974997,32993,0,0,2024-01-16 15:04:47.848815-06
1707241626.908307,46273906,2818384,60261193659,942313,975000,32996,0,0,2024-01-16 15:04:47.848815-06
1707241686.814841,46274075,2818449,60261707889,942313,975040,33036,0,0,2024-01-16 15:04:47.848815-06
1707241746.809885,46274534,2818600,60262869905,942313,975077,33072,0,0,2024-01-16 15:04:47.848815-06
1707241806.910440,46274708,2818632,60263122725,942313,975096,33091,0,0,2024-01-16 15:04:47.848815-06
1707241866.868898,46274860,2818718,60263801764,942313,975108,33103,0,0,2024-01-16 15:04:47.848815-06
1707241926.958308,46275170,2818779,60264295667,942313,975144,33138,0,0,2024-01-16 15:04:47.848815-06
1707241987.055178,46275235,2818820,60264619145,942313,975150,33144,0,0,2024-01-16 15:04:47.848815-06
1707242046.985846,46275296,2818831,60264706786,942313,975157,33151,0,0,2024-01-16 15:04:47.848815-06
1707242107.181357,46275479,2818873,60265038013,942313,975181,33175,0,0,2024-01-16 15:04:47.848815-06
1707242167.089478,46275949,2819000,60266062648,942313,975228,33221,0,0,2024-01-16 15:04:47.848815-06
1707242227.289443,46276495,2819070,60266631384,942313,975281,33274,0,0,2024-01-16 15:04:47.848815-06
1707242287.239880,46276727,2819140,60267189083,942313,975310,33303,0,0,2024-01-16 15:04:47.848815-06
1707242347.278624,46276791,2819180,60267498411,942313,975320,33313,0,0,2024-01-16 15:04:47.848815-06
1707242407.435850,46276819,2819186,60267546075,942313,975328,33321,0,0,2024-01-16 15:04:47.848815-06
1707242467.366937,46277158,2819231,60267910880,942313,975367,33360,0,0,2024-01-16 15:04:47.848815-06
1707242527.326516,46277272,2819281,60268307788,942313,975378,33370,0,0,2024-01-16 15:04:47.848815-06
1707242587.340304,46277990,2819637,60271004869,942313,975423,33415,0,0,2024-01-16 15:04:47.848815-06
1707242647.665054,46278363,2819677,60271340678,942313,975462,33453,0,0,2024-01-16 15:04:47.848815-06
1707242707.683322,46278630,2819748,60271911705,942313,975483,33473,0,0,2024-01-16 15:04:47.848815-06
1707242767.672492,46278991,2819804,60272362857,942313,975529,33519,0,0,2024-01-16 15:04:47.848815-06
1707242827.613736,46279621,2819999,60273881522,942313,975549,33539,0,0,2024-01-16 15:04:47.848815-06
1707242887.700226,46279770,2820021,60274058348,942313,975560,33550,0,0,2024-01-16 15:04:47.848815-06
1707242947.826833,46279880,2820026,60274105778,942313,975568,33558,0,0,2024-01-16 15:04:47.848815-06
1707243007.738760,46279885,2820028,60274121479,942313,975572,33562,0,0,2024-01-16 15:04:47.848815-06
1707243067.740341,46280374,2820101,60274718355,942313,975616,33606,0,0,2024-01-16 15:04:47.848815-06
1707243127.825203,46280925,2820225,60275717170,942313,975672,33661,0,0,2024-01-16 15:04:47.848815-06
1707243188.077151,46280937,2820227,60275733402,942313,975680,33669,0,0,2024-01-16 15:04:47.848815-06
1707243248.042480,46281021,2820276,60276055347,942313,975699,33688,0,0,2024-01-16 15:04:47.848815-06
1707243307.994153,46281126,2820312,60276324448,942313,975715,33704,0,0,2024-01-16 15:04:47.848815-06
1707243368.037335,46281630,2820485,60277667246,942313,975761,33749,0,0,2024-01-16 15:04:47.848815-06
1707243428.142321,46281956,2820614,60278657315,942313,975795,33783,0,0,2024-01-16 15:04:47.848815-06
1707243488.066222,46282719,2820783,60280012432,942313,975884,33872,0,0,2024-01-16 15:04:47.848815-06
1707243548.074464,46282936,2820822,60280323282,942313,975901,33889,0,0,2024-01-16 15:04:47.848815-06
1707243608.180265,46283001,2820835,60280423414,942313,975911,33899,0,0,2024-01-16 15:04:47.848815-06
1707243668.126428,46283134,2820859,60280609323,942313,975923,33911,0,0,2024-01-16 15:04:47.848815-06
1707243728.313854,46283223,2820909,60281001577,942313,975936,33924,0,0,2024-01-16 15:04:47.848815-06
1707243788.323681,46283854,2821103,60282515093,942313,975999,33986,0,0,2024-01-16 15:04:47.848815-06
1707243848.263157,46284468,2821306,60284093231,942313,976051,34038,0,0,2024-01-16 15:04:47.848815-06
1707243908.326178,46284777,2821362,60284535602,942313,976080,34067,0,0,2024-01-16 15:04:47.848815-06
1707243968.400939,46285037,2821405,60284874215,942313,976126,34113,0,0,2024-01-16 15:04:47.848815-06
