# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
z15rhel7;60;1707240425;lo;1.98;1.98;1.04;1.04;0.00;0.00;0.00
z15rhel7;60;1707240425;eth0;16.48;0.23;0.70;0.02;0.00;0.00;0.00
z15rhel7;60;1707240485;lo;0.95;0.95;0.65;0.65;0.00;0.00;0.00
z15rhel7;60;1707240485;eth0;20.53;2.65;1.16;0.41;0.00;0.00;0.00
z15rhel7;60;1707240545;lo;1.32;1.32;0.93;0.93;0.00;0.00;0.00
z15rhel7;60;1707240545;eth0;17.17;0.25;0.76;0.01;0.00;0.00;0.00
z15rhel7;60;1707240605;lo;0.50;0.50;0.33;0.33;0.00;0.00;0.00
z15rhel7;60;1707240605;eth0;15.10;0.32;0.64;0.02;0.00;0.00;0.00
z15rhel7;60;1707240665;lo;1.98;1.98;1.33;1.33;0.00;0.00;0.00
z15rhel7;60;1707240665;eth0;16.83;0.38;0.80;0.03;0.00;0.00;0.00
z15rhel7;60;1707240725;lo;1.07;1.07;0.75;0.75;0.00;0.00;0.00
z15rhel7;60;1707240725;eth0;18.90;2.78;1.03;0.47;0.00;0.00;0.00
z15rhel7;60;1707240785;lo;0.65;0.65;0.43;0.43;0.00;0.00;0.00
z15rhel7;60;1707240785;eth0;25.11;7.28;1.60;1.95;0.00;0.00;0.00
z15rhel7;60;1707240845;lo;2.53;2.53;1.57;1.57;0.00;0.00;0.00
z15rhel7;60;1707240845;eth0;21.06;3.33;1.11;0.79;0.00;0.00;0.00
z15rhel7;60;1707240905;lo;1.40;1.40;0.91;0.91;0.00;0.00;0.00
z15rhel7;60;1707240905;eth0;16.35;0.27;0.74;0.02;0.00;0.00;0.00
z15rhel7;60;1707240965;lo;2.87;2.87;1.85;1.85;0.00;0.00;0.00
z15rhel7;60;1707240965;eth0;17.97;0.33;0.80;0.02;0.00;0.00;0.00
z15rhel7;60;1707241025;lo;1.95;1.95;1.33;1.33;0.00;0.00;0.00
z15rhel7;60;1707241025;eth0;17.27;0.37;0.78;0.03;0.00;0.00;0.00
z15rhel7;60;1707241085;lo;0.92;0.92;0.61;0.61;0.00;0.00;0.00
z15rhel7;60;1707241085;eth0;15.20;0.45;0.64;0.03;0.00;0.00;0.00
z15rhel7;60;1707241145;lo;1.20;1.20;0.80;0.80;0.00;0.00;0.00
z15rhel7;60;1707241145;eth0;19.50;0.22;0.94;0.01;0.00;0.00;0.00
z15rhel7;60;1707241205;lo;1.60;1.60;1.08;1.08;0.00;0.00;0.00
z15rhel7;60;1707241205;eth0;15.88;0.43;0.67;0.04;0.00;0.00;0.00
z15rhel7;60;1707241265;lo;1.38;1.38;0.81;0.81;0.00;0.00;0.00
z15rhel7;60;1707241265;eth0;16.91;0.47;0.76;0.03;0.00;0.00;0.00
z15rhel7;60;1707241325;lo;1.57;1.57;1.01;1.01;0.00;0.00;0.00
z15rhel7;60;1707241325;eth0;16.57;0.47;0.73;0.03;0.00;0.00;0.00
z15rhel7;60;1707241385;lo;2.25;2.25;1.42;1.42;0.00;0.00;0.00
z15rhel7;60;1707241385;eth0;17.65;0.50;0.82;0.06;0.00;0.00;0.00
z15rhel7;60;1707241445;lo;1.35;1.35;0.90;0.90;0.00;0.00;0.00
z15rhel7;60;1707241445;eth0;15.85;0.53;0.69;0.07;0.00;0.00;0.00
z15rhel7;60;1707241505;lo;0.90;0.90;0.58;0.58;0.00;0.00;0.00
z15rhel7;60;1707241505;eth0;17.27;0.17;0.80;0.01;0.00;0.00;0.00
z15rhel7;60;1707241565;lo;1.97;1.97;1.30;1.30;0.00;0.00;0.00
z15rhel7;60;1707241565;eth0;15.78;0.40;0.69;0.06;0.00;0.00;0.00
z15rhel7;60;1707241625;lo;0.35;0.35;0.22;0.22;0.00;0.00;0.00
z15rhel7;60;1707241625;eth0;17.63;0.55;0.82;0.07;0.00;0.00;0.00
z15rhel7;60;1707241685;lo;1.73;1.73;1.15;1.15;0.00;0.00;0.00
z15rhel7;60;1707241685;eth0;15.17;0.17;0.67;0.01;0.00;0.00;0.00
z15rhel7;60;1707241745;lo;3.85;3.85;2.67;2.67;0.00;0.00;0.00
z15rhel7;60;1707241745;eth0;15.50;0.40;0.77;0.06;0.00;0.00;0.00
z15rhel7;60;1707241805;lo;2.18;2.18;1.51;1.51;0.00;0.00;0.00
z15rhel7;60;1707241805;eth0;16.75;0.33;0.72;0.05;0.00;0.00;0.00
z15rhel7;60;1707241865;lo;1.22;1.22;0.83;0.83;0.00;0.00;0.00
z15rhel7;60;1707241865;eth0;17.35;0.35;0.77;0.05;0.00;0.00;0.00
z15rhel7;60;1707241925;lo;1.63;1.63;1.02;1.02;0.00;0.00;0.00
z15rhel7;60;1707241925;eth0;17.60;0.08;0.87;0.01;0.00;0.00;0.00
z15rhel7;60;1707241985;lo;0.50;0.50;0.36;0.36;0.00;0.00;0.00
z15rhel7;60;1707241985;eth0;14.63;0.35;0.64;0.06;0.00;0.00;0.00
z15rhel7;60;1707242045;lo;1.12;1.12;0.72;0.72;0.00;0.00;0.00
z15rhel7;60;1707242045;eth0;15.95;0.42;0.74;0.06;0.00;0.00;0.00
z15rhel7;60;1707242105;lo;1.92;1.92;1.23;1.23;0.00;0.00;0.00
z15rhel7;60;1707242105;eth0;17.15;0.20;0.76;0.01;0.00;0.00;0.00
z15rhel7;60;1707242165;lo;2.20;2.20;1.42;1.42;0.00;0.00;0.00
z15rhel7;60;1707242165;eth0;16.77;0.38;0.78;0.06;0.00;0.00;0.00
z15rhel7;60;1707242225;lo;3.78;3.78;2.56;2.56;0.00;0.00;0.00
z15rhel7;60;1707242225;eth0;17.61;0.35;0.76;0.05;0.00;0.00;0.00
z15rhel7;60;1707242285;lo;3.30;3.30;2.33;2.33;0.00;0.00;0.00
z15rhel7;60;1707242285;eth0;16.80;0.18;0.79;0.02;0.00;0.00;0.00
z15rhel7;60;1707242345;lo;0.67;0.67;0.47;0.47;0.00;0.00;0.00
z15rhel7;60;1707242345;eth0;13.57;0.35;0.59;0.05;0.00;0.00;0.00
z15rhel7;60;1707242405;lo;0.60;0.60;0.40;0.40;0.00;0.00;0.00
z15rhel7;60;1707242405;eth0;15.43;0.45;0.72;0.06;0.00;0.00;0.00
z15rhel7;60;1707242465;lo;2.22;2.22;1.38;1.38;0.00;0.00;0.00
z15rhel7;60;1707242465;eth0;16.11;0.25;0.72;0.02;0.00;0.00;0.00
z15rhel7;60;1707242525;lo;1.50;1.50;1.04;1.04;0.00;0.00;0.00
z15rhel7;60;1707242525;eth0;17.82;0.45;0.86;0.06;0.00;0.00;0.00
z15rhel7;60;1707242585;lo;3.82;3.82;2.63;2.63;0.00;0.00;0.00
z15rhel7;60;1707242585;eth0;14.57;0.42;0.64;0.06;0.00;0.00;0.00
z15rhel7;60;1707242645;lo;1.98;1.98;1.24;1.24;0.00;0.00;0.00
z15rhel7;60;1707242645;eth0;16.59;0.33;0.81;0.05;0.00;0.00;0.00
z15rhel7;60;1707242705;lo;1.80;1.80;1.22;1.22;0.00;0.00;0.00
z15rhel7;60;1707242705;eth0;14.20;0.23;0.60;0.02;0.00;0.00;0.00
z15rhel7;60;1707242765;lo;2.78;2.78;1.75;1.75;0.00;0.00;0.00
z15rhel7;60;1707242765;eth0;18.30;0.48;0.84;0.06;0.00;0.00;0.00
z15rhel7;60;1707242825;lo;1.93;1.93;1.30;1.30;0.00;0.00;0.00
z15rhel7;60;1707242825;eth0;15.93;0.23;0.71;0.02;0.00;0.00;0.00
z15rhel7;60;1707242885;lo;1.27;1.27;0.83;0.83;0.00;0.00;0.00
z15rhel7;60;1707242885;eth0;16.38;0.50;0.77;0.06;0.00;0.00;0.00
z15rhel7;60;1707242945;lo;0.42;0.42;0.25;0.25;0.00;0.00;0.00
z15rhel7;60;1707242945;eth0;15.63;0.77;0.69;0.08;0.00;0.00;0.00
z15rhel7;60;1707243005;lo;0.47;0.47;0.32;0.32;0.00;0.00;0.00
z15rhel7;60;1707243005;eth0;18.95;0.52;0.91;0.07;0.00;0.00;0.00
z15rhel7;60;1707243065;lo;2.77;2.77;1.71;1.71;0.00;0.00;0.00
z15rhel7;60;1707243065;eth0;15.83;0.20;0.66;0.01;0.00;0.00;0.00
z15rhel7;60;1707243125;lo;3.08;3.08;2.03;2.03;0.00;0.00;0.00
z15rhel7;60;1707243125;eth0;16.30;0.38;0.76;0.06;0.00;0.00;0.00
z15rhel7;60;1707243185;lo;0.45;0.45;0.32;0.32;0.00;0.00;0.00
z15rhel7;60;1707243185;eth0;17.28;0.37;0.78;0.06;0.00;0.00;0.00
z15rhel7;60;1707243245;lo;2.12;2.12;1.47;1.47;0.00;0.00;0.00
z15rhel7;60;1707243245;eth0;17.66;0.08;0.77;0.01;0.00;0.00;0.00
z15rhel7;60;1707243305;lo;1.10;1.10;0.72;0.72;0.00;0.00;0.00
z15rhel7;60;1707243305;eth0;21.32;0.43;0.92;0.06;0.00;0.00;0.00
z15rhel7;60;1707243365;lo;3.23;3.23;2.10;2.10;0.00;0.00;0.00
z15rhel7;60;1707243365;eth0;19.42;0.40;0.90;0.06;0.00;0.00;0.00
z15rhel7;60;1707243425;lo;2.55;2.55;1.76;1.76;0.00;0.00;0.00
z15rhel7;60;1707243425;eth0;20.43;0.12;0.88;0.01;0.00;0.00;0.00
z15rhel7;60;1707243485;lo;4.48;4.48;2.93;2.93;0.00;0.00;0.00
z15rhel7;60;1707243485;eth0;20.38;0.40;0.87;0.06;0.00;0.00;0.00
z15rhel7;60;1707243545;lo;2.28;2.28;1.45;1.45;0.00;0.00;0.00
z15rhel7;60;1707243545;eth0;19.60;0.45;0.94;0.06;0.00;0.00;0.00
z15rhel7;60;1707243605;lo;1.37;1.37;0.97;0.97;0.00;0.00;0.00
z15rhel7;60;1707243605;eth0;17.78;0.13;0.74;0.01;0.00;0.00;0.00
z15rhel7;60;1707243665;lo;1.08;1.08;0.69;0.69;0.00;0.00;0.00
z15rhel7;60;1707243665;eth0;19.88;0.43;0.90;0.06;0.00;0.00;0.00
z15rhel7;60;1707243725;lo;0.50;0.50;0.33;0.33;0.00;0.00;0.00
z15rhel7;60;1707243725;eth0;19.92;0.47;0.90;0.06;0.00;0.00;0.00
z15rhel7;60;1707243785;lo;4.45;4.45;3.06;3.06;0.00;0.00;0.00
z15rhel7;60;1707243785;eth0;19.40;0.18;0.86;0.01;0.00;0.00;0.00
z15rhel7;60;1707243845;lo;4.00;4.00;2.54;2.54;0.00;0.00;0.00
z15rhel7;60;1707243845;eth0;17.17;0.37;0.74;0.06;0.00;0.00;0.00
z15rhel7;60;1707243905;lo;1.48;1.48;1.01;1.01;0.00;0.00;0.00
z15rhel7;60;1707243905;eth0;18.87;0.47;0.91;0.06;0.00;0.00;0.00
z15rhel7;60;1707243965;lo;2.70;2.70;1.74;1.74;0.00;0.00;0.00
z15rhel7;60;1707243965;eth0;17.32;0.15;0.72;0.01;0.00;0.00;0.00
