ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1719457505.902381,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,93851,77410,77157,2619,2696,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,19,222172
1719457505.902381,1247,2703,pg_catalog,pg_type,pg_type_oid_index,191827,190381,190381,1247,2703,pg_catalog,pg_type,pg_type_oid_index,7,407117
1719457505.902381,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,2573,974,290,1247,2704,pg_catalog,pg_type,pg_type_typname_nsp_index,8,8736
1719457505.902381,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,2836,2837,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0
1719457505.902381,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0,0,4171,4172,pg_toast,pg_toast_1247,pg_toast_1247_index,0,0
1719457505.902381,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,2830,2831,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0
1719457505.902381,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,2832,2833,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0
1719457505.902381,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0,0,4157,4158,pg_toast,pg_toast_2612,pg_toast_2612_index,0,0
1719457505.902381,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0,0,4159,4160,pg_toast,pg_toast_2600,pg_toast_2600_index,0,0
1719457505.902381,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,2386,3380,3380,2840,2841,pg_toast,pg_toast_2619,pg_toast_2619_index,2,3851
1719457505.902381,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0,0,3439,3440,pg_toast,pg_toast_3381,pg_toast_3381_index,0,0
1719457505.902381,3430,3431,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0,0,3430,3431,pg_toast,pg_toast_3429,pg_toast_3429_index,0,0
1719457505.902381,2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,7449,21771,21771,2838,2839,pg_toast,pg_toast_2618,pg_toast_2618_index,2,13758
1719457505.902381,2336,2337,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,2336,2337,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0
1719457505.902381,4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0,0,4145,4146,pg_toast,pg_toast_3466,pg_toast_3466_index,0,0
1719457505.902381,2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,2834,2835,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0
1719457505.902381,3118,3119,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,3118,3119,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0
1719457505.902381,4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0,0,4163,4164,pg_toast,pg_toast_2615,pg_toast_2615_index,0,0
1719457505.902381,4177,4178,pg_toast,pg_toast_1262,pg_toast_1262_index,0,0,0,4177,4178,pg_toast,pg_toast_1262,pg_toast_1262_index,1,0
1719457505.902381,2966,2967,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,2966,2967,pg_toast,pg_toast_2964,pg_toast_2964_index,1,0
1719457505.902381,4185,4186,pg_toast,pg_toast_1213,pg_toast_1213_index,0,0,0,4185,4186,pg_toast,pg_toast_1213,pg_toast_1213_index,1,0
1719457505.902381,4175,4176,pg_toast,pg_toast_1260,pg_toast_1260_index,0,0,0,4175,4176,pg_toast,pg_toast_1260,pg_toast_1260_index,1,0
1719457505.902381,2846,2847,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,2846,2847,pg_toast,pg_toast_2396,pg_toast_2396_index,1,0
1719457505.902381,4169,4170,pg_toast,pg_toast_3600,pg_toast_3600_index,0,0,0,4169,4170,pg_toast,pg_toast_3600,pg_toast_3600_index,0,0
1719457505.902381,4147,4148,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0,0,4147,4148,pg_toast,pg_toast_3079,pg_toast_3079_index,0,0
1719457505.902381,4149,4150,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0,0,4149,4150,pg_toast,pg_toast_2328,pg_toast_2328_index,0,0
1719457505.902381,4151,4152,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0,0,4151,4152,pg_toast,pg_toast_1417,pg_toast_1417_index,0,0
1719457505.902381,4173,4174,pg_toast,pg_toast_1418,pg_toast_1418_index,0,0,0,4173,4174,pg_toast,pg_toast_1418,pg_toast_1418_index,0,0
1719457505.902381,4153,4154,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0,0,4153,4154,pg_toast,pg_toast_3118,pg_toast_3118_index,0,0
1719457505.902381,4167,4168,pg_toast,pg_toast_3256,pg_toast_3256_index,0,0,0,4167,4168,pg_toast,pg_toast_3256,pg_toast_3256_index,0,0
1719457505.902381,4181,4182,pg_toast,pg_toast_6000,pg_toast_6000_index,0,0,0,4181,4182,pg_toast,pg_toast_6000,pg_toast_6000_index,1,0
1719457505.902381,4143,4144,pg_toast,pg_toast_826,pg_toast_826_index,0,0,0,4143,4144,pg_toast,pg_toast_826,pg_toast_826_index,0,0
1719457505.902381,4155,4156,pg_toast,pg_toast_3394,pg_toast_3394_index,0,0,0,4155,4156,pg_toast,pg_toast_3394,pg_toast_3394_index,0,0
1719457505.902381,3598,3599,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,3598,3599,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0
1719457505.902381,4060,4061,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,4060,4061,pg_toast,pg_toast_3592,pg_toast_3592_index,1,0
1719457505.902381,6175,6176,pg_toast,pg_toast_3456,pg_toast_3456_index,0,0,0,6175,6176,pg_toast,pg_toast_3456,pg_toast_3456_index,0,0
1719457505.902381,6244,6245,pg_toast,pg_toast_6243,pg_toast_6243_index,0,0,0,6244,6245,pg_toast,pg_toast_6243,pg_toast_6243_index,1,0
1719457505.902381,4165,4166,pg_toast,pg_toast_3350,pg_toast_3350_index,0,0,0,4165,4166,pg_toast,pg_toast_3350,pg_toast_3350_index,0,0
1719457505.902381,6228,6229,pg_toast,pg_toast_6106,pg_toast_6106_index,0,0,0,6228,6229,pg_toast,pg_toast_6106,pg_toast_6106_index,0,0
1719457505.902381,4183,4184,pg_toast,pg_toast_6100,pg_toast_6100_index,0,0,0,4183,4184,pg_toast,pg_toast_6100,pg_toast_6100_index,1,0
1719457505.902381,1260,2677,pg_catalog,pg_authid,pg_authid_oid_index,270393,270393,270393,1260,2677,pg_catalog,pg_authid,pg_authid_oid_index,18,540769
1719457505.902381,1260,2676,pg_catalog,pg_authid,pg_authid_rolname_index,147384,147384,147384,1260,2676,pg_catalog,pg_authid,pg_authid_rolname_index,24,294745
1719457505.902381,3429,3433,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_inh_index,0,0,0,3429,3433,pg_catalog,pg_statistic_ext_data,pg_statistic_ext_data_stxoid_inh_index,0,0
1719457505.902381,1418,174,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,1418,174,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0
1719457505.902381,1418,175,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,1418,175,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0
1719457505.902381,6100,6114,pg_catalog,pg_subscription,pg_subscription_oid_index,0,0,0,6100,6114,pg_catalog,pg_subscription,pg_subscription_oid_index,5,1172
1719457505.902381,6100,6115,pg_catalog,pg_subscription,pg_subscription_subname_index,0,0,0,6100,6115,pg_catalog,pg_subscription,pg_subscription_subname_index,5,1172
1719457505.902381,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,3141413,6084935,6084935,1249,2659,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,34,6998091
1719457505.902381,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,1842,1839,1839,1249,2658,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,61,42845
1719457505.902381,1255,2690,pg_catalog,pg_proc,pg_proc_oid_index,99862,99862,99862,1255,2690,pg_catalog,pg_proc,pg_proc_oid_index,11,214494
1719457505.902381,1255,2691,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,21789,73036,73036,1255,2691,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,20,54725
1719457505.902381,1259,2662,pg_catalog,pg_class,pg_class_oid_index,1986215,1926457,1905377,1259,2662,pg_catalog,pg_class,pg_class_oid_index,4,4656030
1719457505.902381,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,21276,15110,15096,1259,3455,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,6,73083
1719457505.902381,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,34284,22515,21836,1259,2663,pg_catalog,pg_class,pg_class_relname_nsp_index,6,91506
1719457505.902381,2604,2657,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,2604,2657,pg_catalog,pg_attrdef,pg_attrdef_oid_index,1,79
1719457505.902381,2604,2656,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,2604,2656,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,1,79
1719457505.902381,2606,2667,pg_catalog,pg_constraint,pg_constraint_oid_index,0,0,0,2606,2667,pg_catalog,pg_constraint,pg_constraint_oid_index,1,16
1719457505.902381,2606,2579,pg_catalog,pg_constraint,pg_constraint_conparentid_index,0,0,0,2606,2579,pg_catalog,pg_constraint,pg_constraint_conparentid_index,1,16
1719457505.902381,2606,2666,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2606,2666,pg_catalog,pg_constraint,pg_constraint_contypid_index,1,16
1719457505.902381,2606,2665,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,1663,569,569,2606,2665,pg_catalog,pg_constraint,pg_constraint_conrelid_contypid_conname_index,2,2304
1719457505.902381,2606,2664,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2606,2664,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,1,16
1719457505.902381,2611,2680,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,2413,0,0,2611,2680,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,1,4985
1719457505.902381,2611,2187,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,2611,2187,pg_catalog,pg_inherits,pg_inherits_parent_index,1,159
1719457505.902381,2610,2679,pg_catalog,pg_index,pg_index_indexrelid_index,765506,765509,765470,2610,2679,pg_catalog,pg_index,pg_index_indexrelid_index,2,1445266
1719457505.902381,2610,2678,pg_catalog,pg_index,pg_index_indrelid_index,205406,235395,234944,2610,2678,pg_catalog,pg_index,pg_index_indrelid_index,2,161293
1719457505.902381,2617,2688,pg_catalog,pg_operator,pg_operator_oid_index,22362,22362,22362,2617,2688,pg_catalog,pg_operator,pg_operator_oid_index,4,55124
1719457505.902381,2617,2689,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,5906,17807,17807,2617,2689,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,6,15685
1719457505.902381,2753,2755,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,2753,2755,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0
1719457505.902381,2753,2754,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,2753,2754,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0
1719457505.902381,2616,2687,pg_catalog,pg_opclass,pg_opclass_oid_index,719758,719758,719758,2616,2687,pg_catalog,pg_opclass,pg_opclass_oid_index,2,1397266
1719457505.902381,2616,2686,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,25290,1082160,1082160,2616,2686,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,2,34708
1719457505.902381,2601,2652,pg_catalog,pg_am,pg_am_oid_index,160,240,160,2601,2652,pg_catalog,pg_am,pg_am_oid_index,2,175
1719457505.902381,2601,2651,pg_catalog,pg_am,pg_am_name_index,0,0,0,2601,2651,pg_catalog,pg_am,pg_am_name_index,1,16
1719457505.902381,2602,2756,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,2602,2756,pg_catalog,pg_amop,pg_amop_oid_index,0,0
1719457505.902381,2602,2654,pg_catalog,pg_amop,pg_amop_opr_fam_index,31516,114163,114163,2602,2654,pg_catalog,pg_amop,pg_amop_opr_fam_index,5,73552
1719457505.902381,2602,2653,pg_catalog,pg_amop,pg_amop_fam_strat_index,50887,50887,50887,2602,2653,pg_catalog,pg_amop,pg_amop_fam_strat_index,4,110803
1719457505.902381,2603,2757,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,2603,2757,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0
1719457505.902381,2603,2655,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,718582,2121005,2121005,2603,2655,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,4,2114670
1719457505.902381,2612,2682,pg_catalog,pg_language,pg_language_oid_index,0,0,0,2612,2682,pg_catalog,pg_language,pg_language_oid_index,0,0
1719457505.902381,2612,2681,pg_catalog,pg_language,pg_language_name_index,0,0,0,2612,2681,pg_catalog,pg_language,pg_language_name_index,0,0
1719457505.902381,2995,2996,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,2995,2996,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0
1719457505.902381,2600,2650,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,3903,3903,3903,2600,2650,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,2,7565
1719457505.902381,3381,3380,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,0,0,0,3381,3380,pg_catalog,pg_statistic_ext,pg_statistic_ext_oid_index,1,79
1719457505.902381,3381,3379,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,20826,0,0,3381,3379,pg_catalog,pg_statistic_ext,pg_statistic_ext_relid_index,1,41731
1719457505.902381,3381,3997,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,0,0,0,3381,3997,pg_catalog,pg_statistic_ext,pg_statistic_ext_name_index,1,79
