ctime,datid,datname,confl_tablespace,confl_lock,confl_snapshot,confl_bufferpin,confl_deadlock
1719457543.411827,5,postgres,0,0,0,0,0
1719457543.411827,4263817,dbt7,0,0,0,0,0
1719457543.411827,1,template1,0,0,0,0,0
1719457543.411827,4,template0,0,0,0,0,0
1719457543.411827,4212858,dbt5,0,0,0,0,0
1719457603.419687,5,postgres,0,0,0,0,0
1719457603.419687,4263817,dbt7,0,0,0,0,0
1719457603.419687,1,template1,0,0,0,0,0
1719457603.419687,4,template0,0,0,0,0,0
1719457603.419687,4212858,dbt5,0,0,0,0,0
1719457663.432894,5,postgres,0,0,0,0,0
1719457663.432894,4263817,dbt7,0,0,0,0,0
1719457663.432894,1,template1,0,0,0,0,0
1719457663.432894,4,template0,0,0,0,0,0
1719457663.432894,4212858,dbt5,0,0,0,0,0
1719457723.441261,5,postgres,0,0,0,0,0
1719457723.441261,4263817,dbt7,0,0,0,0,0
1719457723.441261,1,template1,0,0,0,0,0
1719457723.441261,4,template0,0,0,0,0,0
1719457723.441261,4212858,dbt5,0,0,0,0,0
1719457783.457179,5,postgres,0,0,0,0,0
1719457783.457179,4263817,dbt7,0,0,0,0,0
1719457783.457179,1,template1,0,0,0,0,0
1719457783.457179,4,template0,0,0,0,0,0
1719457783.457179,4212858,dbt5,0,0,0,0,0
1719457843.466883,5,postgres,0,0,0,0,0
1719457843.466883,4263817,dbt7,0,0,0,0,0
1719457843.466883,1,template1,0,0,0,0,0
1719457843.466883,4,template0,0,0,0,0,0
1719457843.466883,4212858,dbt5,0,0,0,0,0
1719457903.479780,5,postgres,0,0,0,0,0
1719457903.479780,4263817,dbt7,0,0,0,0,0
1719457903.479780,1,template1,0,0,0,0,0
1719457903.479780,4,template0,0,0,0,0,0
1719457903.479780,4212858,dbt5,0,0,0,0,0
1719457963.488081,5,postgres,0,0,0,0,0
1719457963.488081,4263817,dbt7,0,0,0,0,0
1719457963.488081,1,template1,0,0,0,0,0
1719457963.488081,4,template0,0,0,0,0,0
1719457963.488081,4212858,dbt5,0,0,0,0,0
1719458023.501767,5,postgres,0,0,0,0,0
1719458023.501767,4263817,dbt7,0,0,0,0,0
1719458023.501767,1,template1,0,0,0,0,0
1719458023.501767,4,template0,0,0,0,0,0
1719458023.501767,4212858,dbt5,0,0,0,0,0
1719458083.507571,5,postgres,0,0,0,0,0
1719458083.507571,4263817,dbt7,0,0,0,0,0
1719458083.507571,1,template1,0,0,0,0,0
1719458083.507571,4,template0,0,0,0,0,0
1719458083.507571,4212858,dbt5,0,0,0,0,0
1719458143.521091,5,postgres,0,0,0,0,0
1719458143.521091,4263817,dbt7,0,0,0,0,0
1719458143.521091,1,template1,0,0,0,0,0
1719458143.521091,4,template0,0,0,0,0,0
1719458143.521091,4212858,dbt5,0,0,0,0,0
1719458203.528752,5,postgres,0,0,0,0,0
1719458203.528752,4263817,dbt7,0,0,0,0,0
1719458203.528752,1,template1,0,0,0,0,0
1719458203.528752,4,template0,0,0,0,0,0
1719458203.528752,4212858,dbt5,0,0,0,0,0
1719458263.542901,5,postgres,0,0,0,0,0
1719458263.542901,4263817,dbt7,0,0,0,0,0
1719458263.542901,1,template1,0,0,0,0,0
1719458263.542901,4,template0,0,0,0,0,0
1719458263.542901,4212858,dbt5,0,0,0,0,0
1719458323.550079,5,postgres,0,0,0,0,0
1719458323.550079,4263817,dbt7,0,0,0,0,0
1719458323.550079,1,template1,0,0,0,0,0
1719458323.550079,4,template0,0,0,0,0,0
1719458323.550079,4212858,dbt5,0,0,0,0,0
1719458383.562392,5,postgres,0,0,0,0,0
1719458383.562392,4263817,dbt7,0,0,0,0,0
1719458383.562392,1,template1,0,0,0,0,0
1719458383.562392,4,template0,0,0,0,0,0
1719458383.562392,4212858,dbt5,0,0,0,0,0
1719458443.573254,5,postgres,0,0,0,0,0
1719458443.573254,4263817,dbt7,0,0,0,0,0
1719458443.573254,1,template1,0,0,0,0,0
1719458443.573254,4,template0,0,0,0,0,0
1719458443.573254,4212858,dbt5,0,0,0,0,0
1719458503.584104,5,postgres,0,0,0,0,0
1719458503.584104,4263817,dbt7,0,0,0,0,0
1719458503.584104,1,template1,0,0,0,0,0
1719458503.584104,4,template0,0,0,0,0,0
1719458503.584104,4212858,dbt5,0,0,0,0,0
1719458563.598948,5,postgres,0,0,0,0,0
1719458563.598948,4263817,dbt7,0,0,0,0,0
1719458563.598948,1,template1,0,0,0,0,0
1719458563.598948,4,template0,0,0,0,0,0
1719458563.598948,4212858,dbt5,0,0,0,0,0
1719458623.613235,5,postgres,0,0,0,0,0
1719458623.613235,4263817,dbt7,0,0,0,0,0
1719458623.613235,1,template1,0,0,0,0,0
1719458623.613235,4,template0,0,0,0,0,0
1719458623.613235,4212858,dbt5,0,0,0,0,0
1719458683.622380,5,postgres,0,0,0,0,0
1719458683.622380,4263817,dbt7,0,0,0,0,0
1719458683.622380,1,template1,0,0,0,0,0
1719458683.622380,4,template0,0,0,0,0,0
1719458683.622380,4212858,dbt5,0,0,0,0,0
1719458743.633644,5,postgres,0,0,0,0,0
1719458743.633644,4263817,dbt7,0,0,0,0,0
1719458743.633644,1,template1,0,0,0,0,0
1719458743.633644,4,template0,0,0,0,0,0
1719458743.633644,4212858,dbt5,0,0,0,0,0
1719458803.645332,5,postgres,0,0,0,0,0
1719458803.645332,4263817,dbt7,0,0,0,0,0
1719458803.645332,1,template1,0,0,0,0,0
1719458803.645332,4,template0,0,0,0,0,0
1719458803.645332,4212858,dbt5,0,0,0,0,0
1719458863.654432,5,postgres,0,0,0,0,0
1719458863.654432,4263817,dbt7,0,0,0,0,0
1719458863.654432,1,template1,0,0,0,0,0
1719458863.654432,4,template0,0,0,0,0,0
1719458863.654432,4212858,dbt5,0,0,0,0,0
1719458923.663756,5,postgres,0,0,0,0,0
1719458923.663756,4263817,dbt7,0,0,0,0,0
1719458923.663756,1,template1,0,0,0,0,0
1719458923.663756,4,template0,0,0,0,0,0
1719458923.663756,4212858,dbt5,0,0,0,0,0
1719458983.675766,5,postgres,0,0,0,0,0
1719458983.675766,4263817,dbt7,0,0,0,0,0
1719458983.675766,1,template1,0,0,0,0,0
1719458983.675766,4,template0,0,0,0,0,0
1719458983.675766,4212858,dbt5,0,0,0,0,0
1719459043.682732,5,postgres,0,0,0,0,0
1719459043.682732,4263817,dbt7,0,0,0,0,0
1719459043.682732,1,template1,0,0,0,0,0
1719459043.682732,4,template0,0,0,0,0,0
1719459043.682732,4212858,dbt5,0,0,0,0,0
1719459103.698304,5,postgres,0,0,0,0,0
1719459103.698304,4263817,dbt7,0,0,0,0,0
1719459103.698304,1,template1,0,0,0,0,0
1719459103.698304,4,template0,0,0,0,0,0
1719459103.698304,4212858,dbt5,0,0,0,0,0
1719459163.706201,5,postgres,0,0,0,0,0
1719459163.706201,4263817,dbt7,0,0,0,0,0
1719459163.706201,1,template1,0,0,0,0,0
1719459163.706201,4,template0,0,0,0,0,0
1719459163.706201,4212858,dbt5,0,0,0,0,0
1719459223.713234,5,postgres,0,0,0,0,0
1719459223.713234,4263817,dbt7,0,0,0,0,0
1719459223.713234,1,template1,0,0,0,0,0
1719459223.713234,4,template0,0,0,0,0,0
1719459223.713234,4212858,dbt5,0,0,0,0,0
1719459283.719313,5,postgres,0,0,0,0,0
1719459283.719313,4263817,dbt7,0,0,0,0,0
1719459283.719313,1,template1,0,0,0,0,0
1719459283.719313,4,template0,0,0,0,0,0
1719459283.719313,4212858,dbt5,0,0,0,0,0
1719459343.732066,5,postgres,0,0,0,0,0
1719459343.732066,4263817,dbt7,0,0,0,0,0
1719459343.732066,1,template1,0,0,0,0,0
1719459343.732066,4,template0,0,0,0,0,0
1719459343.732066,4212858,dbt5,0,0,0,0,0
1719459403.744419,5,postgres,0,0,0,0,0
1719459403.744419,4263817,dbt7,0,0,0,0,0
1719459403.744419,1,template1,0,0,0,0,0
1719459403.744419,4,template0,0,0,0,0,0
1719459403.744419,4212858,dbt5,0,0,0,0,0
1719459463.747332,5,postgres,0,0,0,0,0
1719459463.747332,4263817,dbt7,0,0,0,0,0
1719459463.747332,1,template1,0,0,0,0,0
1719459463.747332,4,template0,0,0,0,0,0
1719459463.747332,4212858,dbt5,0,0,0,0,0
1719459523.765693,5,postgres,0,0,0,0,0
1719459523.765693,4263817,dbt7,0,0,0,0,0
1719459523.765693,1,template1,0,0,0,0,0
1719459523.765693,4,template0,0,0,0,0,0
1719459523.765693,4212858,dbt5,0,0,0,0,0
1719459583.773372,5,postgres,0,0,0,0,0
1719459583.773372,4263817,dbt7,0,0,0,0,0
1719459583.773372,1,template1,0,0,0,0,0
1719459583.773372,4,template0,0,0,0,0,0
1719459583.773372,4212858,dbt5,0,0,0,0,0
1719459643.789164,5,postgres,0,0,0,0,0
1719459643.789164,4263817,dbt7,0,0,0,0,0
1719459643.789164,1,template1,0,0,0,0,0
1719459643.789164,4,template0,0,0,0,0,0
1719459643.789164,4212858,dbt5,0,0,0,0,0
1719459703.793206,5,postgres,0,0,0,0,0
1719459703.793206,4263817,dbt7,0,0,0,0,0
1719459703.793206,1,template1,0,0,0,0,0
1719459703.793206,4,template0,0,0,0,0,0
1719459703.793206,4212858,dbt5,0,0,0,0,0
1719459763.806966,5,postgres,0,0,0,0,0
1719459763.806966,4263817,dbt7,0,0,0,0,0
1719459763.806966,1,template1,0,0,0,0,0
1719459763.806966,4,template0,0,0,0,0,0
1719459763.806966,4212858,dbt5,0,0,0,0,0
1719459823.820794,5,postgres,0,0,0,0,0
1719459823.820794,4263817,dbt7,0,0,0,0,0
1719459823.820794,1,template1,0,0,0,0,0
1719459823.820794,4,template0,0,0,0,0,0
1719459823.820794,4212858,dbt5,0,0,0,0,0
1719459883.829329,5,postgres,0,0,0,0,0
1719459883.829329,4263817,dbt7,0,0,0,0,0
1719459883.829329,1,template1,0,0,0,0,0
1719459883.829329,4,template0,0,0,0,0,0
1719459883.829329,4212858,dbt5,0,0,0,0,0
1719459943.839670,5,postgres,0,0,0,0,0
1719459943.839670,4263817,dbt7,0,0,0,0,0
1719459943.839670,1,template1,0,0,0,0,0
1719459943.839670,4,template0,0,0,0,0,0
1719459943.839670,4212858,dbt5,0,0,0,0,0
1719460003.851144,5,postgres,0,0,0,0,0
1719460003.851144,4263817,dbt7,0,0,0,0,0
1719460003.851144,1,template1,0,0,0,0,0
1719460003.851144,4,template0,0,0,0,0,0
1719460003.851144,4212858,dbt5,0,0,0,0,0
1719460063.858355,5,postgres,0,0,0,0,0
1719460063.858355,4263817,dbt7,0,0,0,0,0
1719460063.858355,1,template1,0,0,0,0,0
1719460063.858355,4,template0,0,0,0,0,0
1719460063.858355,4212858,dbt5,0,0,0,0,0
1719460123.865999,5,postgres,0,0,0,0,0
1719460123.865999,4263817,dbt7,0,0,0,0,0
1719460123.865999,1,template1,0,0,0,0,0
1719460123.865999,4,template0,0,0,0,0,0
1719460123.865999,4212858,dbt5,0,0,0,0,0
1719460183.881195,5,postgres,0,0,0,0,0
1719460183.881195,4263817,dbt7,0,0,0,0,0
1719460183.881195,1,template1,0,0,0,0,0
1719460183.881195,4,template0,0,0,0,0,0
1719460183.881195,4212858,dbt5,0,0,0,0,0
1719460243.884708,5,postgres,0,0,0,0,0
1719460243.884708,4263817,dbt7,0,0,0,0,0
1719460243.884708,1,template1,0,0,0,0,0
1719460243.884708,4,template0,0,0,0,0,0
1719460243.884708,4212858,dbt5,0,0,0,0,0
1719460303.892650,5,postgres,0,0,0,0,0
1719460303.892650,4263817,dbt7,0,0,0,0,0
1719460303.892650,1,template1,0,0,0,0,0
1719460303.892650,4,template0,0,0,0,0,0
1719460303.892650,4212858,dbt5,0,0,0,0,0
1719460363.907487,5,postgres,0,0,0,0,0
1719460363.907487,4263817,dbt7,0,0,0,0,0
1719460363.907487,1,template1,0,0,0,0,0
1719460363.907487,4,template0,0,0,0,0,0
1719460363.907487,4212858,dbt5,0,0,0,0,0
1719460423.919064,5,postgres,0,0,0,0,0
1719460423.919064,4263817,dbt7,0,0,0,0,0
1719460423.919064,1,template1,0,0,0,0,0
1719460423.919064,4,template0,0,0,0,0,0
1719460423.919064,4212858,dbt5,0,0,0,0,0
1719460483.931759,5,postgres,0,0,0,0,0
1719460483.931759,4263817,dbt7,0,0,0,0,0
1719460483.931759,1,template1,0,0,0,0,0
1719460483.931759,4,template0,0,0,0,0,0
1719460483.931759,4212858,dbt5,0,0,0,0,0
1719460543.941617,5,postgres,0,0,0,0,0
1719460543.941617,4263817,dbt7,0,0,0,0,0
1719460543.941617,1,template1,0,0,0,0,0
1719460543.941617,4,template0,0,0,0,0,0
1719460543.941617,4212858,dbt5,0,0,0,0,0
1719460603.947573,5,postgres,0,0,0,0,0
1719460603.947573,4263817,dbt7,0,0,0,0,0
1719460603.947573,1,template1,0,0,0,0,0
1719460603.947573,4,template0,0,0,0,0,0
1719460603.947573,4212858,dbt5,0,0,0,0,0
1719460663.960683,5,postgres,0,0,0,0,0
1719460663.960683,4263817,dbt7,0,0,0,0,0
1719460663.960683,1,template1,0,0,0,0,0
1719460663.960683,4,template0,0,0,0,0,0
1719460663.960683,4212858,dbt5,0,0,0,0,0
1719460723.970535,5,postgres,0,0,0,0,0
1719460723.970535,4263817,dbt7,0,0,0,0,0
1719460723.970535,1,template1,0,0,0,0,0
1719460723.970535,4,template0,0,0,0,0,0
1719460723.970535,4212858,dbt5,0,0,0,0,0
1719460783.977793,5,postgres,0,0,0,0,0
1719460783.977793,4263817,dbt7,0,0,0,0,0
1719460783.977793,1,template1,0,0,0,0,0
1719460783.977793,4,template0,0,0,0,0,0
1719460783.977793,4212858,dbt5,0,0,0,0,0
1719460843.989647,5,postgres,0,0,0,0,0
1719460843.989647,4263817,dbt7,0,0,0,0,0
1719460843.989647,1,template1,0,0,0,0,0
1719460843.989647,4,template0,0,0,0,0,0
1719460843.989647,4212858,dbt5,0,0,0,0,0
1719460903.995275,5,postgres,0,0,0,0,0
1719460903.995275,4263817,dbt7,0,0,0,0,0
1719460903.995275,1,template1,0,0,0,0,0
1719460903.995275,4,template0,0,0,0,0,0
1719460903.995275,4212858,dbt5,0,0,0,0,0
1719460964.008439,5,postgres,0,0,0,0,0
1719460964.008439,4263817,dbt7,0,0,0,0,0
1719460964.008439,1,template1,0,0,0,0,0
1719460964.008439,4,template0,0,0,0,0,0
1719460964.008439,4212858,dbt5,0,0,0,0,0
1719461024.020797,5,postgres,0,0,0,0,0
1719461024.020797,4263817,dbt7,0,0,0,0,0
1719461024.020797,1,template1,0,0,0,0,0
1719461024.020797,4,template0,0,0,0,0,0
1719461024.020797,4212858,dbt5,0,0,0,0,0
1719461084.032214,5,postgres,0,0,0,0,0
1719461084.032214,4263817,dbt7,0,0,0,0,0
1719461084.032214,1,template1,0,0,0,0,0
1719461084.032214,4,template0,0,0,0,0,0
1719461084.032214,4212858,dbt5,0,0,0,0,0
1719461144.039450,5,postgres,0,0,0,0,0
1719461144.039450,4263817,dbt7,0,0,0,0,0
1719461144.039450,1,template1,0,0,0,0,0
