ctime,datid,datname,confl_tablespace,confl_lock,confl_snapshot,confl_bufferpin,confl_deadlock
1719461144.039450,4,template0,0,0,0,0,0
1719461144.039450,4212858,dbt5,0,0,0,0,0
1719461204.053247,5,postgres,0,0,0,0,0
1719461204.053247,4263817,dbt7,0,0,0,0,0
1719461204.053247,1,template1,0,0,0,0,0
1719461204.053247,4,template0,0,0,0,0,0
1719461204.053247,4212858,dbt5,0,0,0,0,0
1719461264.065249,5,postgres,0,0,0,0,0
1719461264.065249,4263817,dbt7,0,0,0,0,0
1719461264.065249,1,template1,0,0,0,0,0
1719461264.065249,4,template0,0,0,0,0,0
1719461264.065249,4212858,dbt5,0,0,0,0,0
1719461324.076809,5,postgres,0,0,0,0,0
1719461324.076809,4263817,dbt7,0,0,0,0,0
1719461324.076809,1,template1,0,0,0,0,0
1719461324.076809,4,template0,0,0,0,0,0
1719461324.076809,4212858,dbt5,0,0,0,0,0
1719461384.087057,5,postgres,0,0,0,0,0
1719461384.087057,4263817,dbt7,0,0,0,0,0
1719461384.087057,1,template1,0,0,0,0,0
1719461384.087057,4,template0,0,0,0,0,0
1719461384.087057,4212858,dbt5,0,0,0,0,0
1719461444.100532,5,postgres,0,0,0,0,0
1719461444.100532,4263817,dbt7,0,0,0,0,0
1719461444.100532,1,template1,0,0,0,0,0
1719461444.100532,4,template0,0,0,0,0,0
1719461444.100532,4212858,dbt5,0,0,0,0,0
1719461504.113172,5,postgres,0,0,0,0,0
1719461504.113172,4263817,dbt7,0,0,0,0,0
1719461504.113172,1,template1,0,0,0,0,0
1719461504.113172,4,template0,0,0,0,0,0
1719461504.113172,4212858,dbt5,0,0,0,0,0
1719461564.120261,5,postgres,0,0,0,0,0
1719461564.120261,4263817,dbt7,0,0,0,0,0
1719461564.120261,1,template1,0,0,0,0,0
1719461564.120261,4,template0,0,0,0,0,0
1719461564.120261,4212858,dbt5,0,0,0,0,0
1719461624.132194,5,postgres,0,0,0,0,0
1719461624.132194,4263817,dbt7,0,0,0,0,0
1719461624.132194,1,template1,0,0,0,0,0
1719461624.132194,4,template0,0,0,0,0,0
1719461624.132194,4212858,dbt5,0,0,0,0,0
1719461684.141757,5,postgres,0,0,0,0,0
1719461684.141757,4263817,dbt7,0,0,0,0,0
1719461684.141757,1,template1,0,0,0,0,0
1719461684.141757,4,template0,0,0,0,0,0
1719461684.141757,4212858,dbt5,0,0,0,0,0
1719461744.151182,5,postgres,0,0,0,0,0
1719461744.151182,4263817,dbt7,0,0,0,0,0
1719461744.151182,1,template1,0,0,0,0,0
1719461744.151182,4,template0,0,0,0,0,0
1719461744.151182,4212858,dbt5,0,0,0,0,0
1719461804.158472,5,postgres,0,0,0,0,0
1719461804.158472,4263817,dbt7,0,0,0,0,0
1719461804.158472,1,template1,0,0,0,0,0
1719461804.158472,4,template0,0,0,0,0,0
1719461804.158472,4212858,dbt5,0,0,0,0,0
1719461864.172212,5,postgres,0,0,0,0,0
1719461864.172212,4263817,dbt7,0,0,0,0,0
1719461864.172212,1,template1,0,0,0,0,0
1719461864.172212,4,template0,0,0,0,0,0
1719461864.172212,4212858,dbt5,0,0,0,0,0
1719461924.180535,5,postgres,0,0,0,0,0
1719461924.180535,4263817,dbt7,0,0,0,0,0
1719461924.180535,1,template1,0,0,0,0,0
1719461924.180535,4,template0,0,0,0,0,0
1719461924.180535,4212858,dbt5,0,0,0,0,0
1719461984.188700,5,postgres,0,0,0,0,0
1719461984.188700,4263817,dbt7,0,0,0,0,0
1719461984.188700,1,template1,0,0,0,0,0
1719461984.188700,4,template0,0,0,0,0,0
1719461984.188700,4212858,dbt5,0,0,0,0,0
1719462044.201030,5,postgres,0,0,0,0,0
1719462044.201030,4263817,dbt7,0,0,0,0,0
1719462044.201030,1,template1,0,0,0,0,0
1719462044.201030,4,template0,0,0,0,0,0
1719462044.201030,4212858,dbt5,0,0,0,0,0
1719462104.216281,5,postgres,0,0,0,0,0
1719462104.216281,4263817,dbt7,0,0,0,0,0
1719462104.216281,1,template1,0,0,0,0,0
1719462104.216281,4,template0,0,0,0,0,0
1719462104.216281,4212858,dbt5,0,0,0,0,0
1719462164.224387,5,postgres,0,0,0,0,0
1719462164.224387,4263817,dbt7,0,0,0,0,0
1719462164.224387,1,template1,0,0,0,0,0
1719462164.224387,4,template0,0,0,0,0,0
1719462164.224387,4212858,dbt5,0,0,0,0,0
1719462224.237535,5,postgres,0,0,0,0,0
1719462224.237535,4263817,dbt7,0,0,0,0,0
1719462224.237535,1,template1,0,0,0,0,0
1719462224.237535,4,template0,0,0,0,0,0
1719462224.237535,4212858,dbt5,0,0,0,0,0
1719462284.243021,5,postgres,0,0,0,0,0
1719462284.243021,4263817,dbt7,0,0,0,0,0
1719462284.243021,1,template1,0,0,0,0,0
1719462284.243021,4,template0,0,0,0,0,0
1719462284.243021,4212858,dbt5,0,0,0,0,0
1719462344.252529,5,postgres,0,0,0,0,0
1719462344.252529,4263817,dbt7,0,0,0,0,0
1719462344.252529,1,template1,0,0,0,0,0
1719462344.252529,4,template0,0,0,0,0,0
1719462344.252529,4212858,dbt5,0,0,0,0,0
1719462404.262138,5,postgres,0,0,0,0,0
1719462404.262138,4263817,dbt7,0,0,0,0,0
1719462404.262138,1,template1,0,0,0,0,0
1719462404.262138,4,template0,0,0,0,0,0
1719462404.262138,4212858,dbt5,0,0,0,0,0
1719462464.274302,5,postgres,0,0,0,0,0
1719462464.274302,4263817,dbt7,0,0,0,0,0
1719462464.274302,1,template1,0,0,0,0,0
1719462464.274302,4,template0,0,0,0,0,0
1719462464.274302,4212858,dbt5,0,0,0,0,0
1719462524.289779,5,postgres,0,0,0,0,0
1719462524.289779,4263817,dbt7,0,0,0,0,0
1719462524.289779,1,template1,0,0,0,0,0
1719462524.289779,4,template0,0,0,0,0,0
1719462524.289779,4212858,dbt5,0,0,0,0,0
1719462584.300700,5,postgres,0,0,0,0,0
1719462584.300700,4263817,dbt7,0,0,0,0,0
1719462584.300700,1,template1,0,0,0,0,0
1719462584.300700,4,template0,0,0,0,0,0
1719462584.300700,4212858,dbt5,0,0,0,0,0
1719462644.309426,5,postgres,0,0,0,0,0
1719462644.309426,4263817,dbt7,0,0,0,0,0
1719462644.309426,1,template1,0,0,0,0,0
1719462644.309426,4,template0,0,0,0,0,0
1719462644.309426,4212858,dbt5,0,0,0,0,0
1719462704.317288,5,postgres,0,0,0,0,0
1719462704.317288,4263817,dbt7,0,0,0,0,0
1719462704.317288,1,template1,0,0,0,0,0
1719462704.317288,4,template0,0,0,0,0,0
1719462704.317288,4212858,dbt5,0,0,0,0,0
1719462764.322400,5,postgres,0,0,0,0,0
1719462764.322400,4263817,dbt7,0,0,0,0,0
1719462764.322400,1,template1,0,0,0,0,0
1719462764.322400,4,template0,0,0,0,0,0
1719462764.322400,4212858,dbt5,0,0,0,0,0
1719462824.344140,5,postgres,0,0,0,0,0
1719462824.344140,4263817,dbt7,0,0,0,0,0
1719462824.344140,1,template1,0,0,0,0,0
1719462824.344140,4,template0,0,0,0,0,0
1719462824.344140,4212858,dbt5,0,0,0,0,0
1719462884.352592,5,postgres,0,0,0,0,0
1719462884.352592,4263817,dbt7,0,0,0,0,0
1719462884.352592,1,template1,0,0,0,0,0
1719462884.352592,4,template0,0,0,0,0,0
1719462884.352592,4212858,dbt5,0,0,0,0,0
1719462944.372423,5,postgres,0,0,0,0,0
1719462944.372423,4263817,dbt7,0,0,0,0,0
1719462944.372423,1,template1,0,0,0,0,0
1719462944.372423,4,template0,0,0,0,0,0
1719462944.372423,4212858,dbt5,0,0,0,0,0
1719463004.381189,5,postgres,0,0,0,0,0
1719463004.381189,4263817,dbt7,0,0,0,0,0
1719463004.381189,1,template1,0,0,0,0,0
1719463004.381189,4,template0,0,0,0,0,0
1719463004.381189,4212858,dbt5,0,0,0,0,0
1719463064.390488,5,postgres,0,0,0,0,0
1719463064.390488,4263817,dbt7,0,0,0,0,0
1719463064.390488,1,template1,0,0,0,0,0
1719463064.390488,4,template0,0,0,0,0,0
1719463064.390488,4212858,dbt5,0,0,0,0,0
1719463124.401109,5,postgres,0,0,0,0,0
1719463124.401109,4263817,dbt7,0,0,0,0,0
1719463124.401109,1,template1,0,0,0,0,0
1719463124.401109,4,template0,0,0,0,0,0
1719463124.401109,4212858,dbt5,0,0,0,0,0
1719463184.410328,5,postgres,0,0,0,0,0
1719463184.410328,4263817,dbt7,0,0,0,0,0
1719463184.410328,1,template1,0,0,0,0,0
1719463184.410328,4,template0,0,0,0,0,0
1719463184.410328,4212858,dbt5,0,0,0,0,0
1719463244.418134,5,postgres,0,0,0,0,0
1719463244.418134,4263817,dbt7,0,0,0,0,0
1719463244.418134,1,template1,0,0,0,0,0
1719463244.418134,4,template0,0,0,0,0,0
1719463244.418134,4212858,dbt5,0,0,0,0,0
1719463304.430751,5,postgres,0,0,0,0,0
1719463304.430751,4263817,dbt7,0,0,0,0,0
1719463304.430751,1,template1,0,0,0,0,0
1719463304.430751,4,template0,0,0,0,0,0
1719463304.430751,4212858,dbt5,0,0,0,0,0
1719463364.439408,5,postgres,0,0,0,0,0
1719463364.439408,4263817,dbt7,0,0,0,0,0
1719463364.439408,1,template1,0,0,0,0,0
1719463364.439408,4,template0,0,0,0,0,0
1719463364.439408,4212858,dbt5,0,0,0,0,0
1719463424.450087,5,postgres,0,0,0,0,0
1719463424.450087,4263817,dbt7,0,0,0,0,0
1719463424.450087,1,template1,0,0,0,0,0
1719463424.450087,4,template0,0,0,0,0,0
1719463424.450087,4212858,dbt5,0,0,0,0,0
1719463484.463012,5,postgres,0,0,0,0,0
1719463484.463012,4263817,dbt7,0,0,0,0,0
1719463484.463012,1,template1,0,0,0,0,0
1719463484.463012,4,template0,0,0,0,0,0
1719463484.463012,4212858,dbt5,0,0,0,0,0
1719463544.468589,5,postgres,0,0,0,0,0
1719463544.468589,4263817,dbt7,0,0,0,0,0
1719463544.468589,1,template1,0,0,0,0,0
1719463544.468589,4,template0,0,0,0,0,0
1719463544.468589,4212858,dbt5,0,0,0,0,0
1719463604.483627,5,postgres,0,0,0,0,0
1719463604.483627,4263817,dbt7,0,0,0,0,0
1719463604.483627,1,template1,0,0,0,0,0
1719463604.483627,4,template0,0,0,0,0,0
1719463604.483627,4212858,dbt5,0,0,0,0,0
1719463664.490986,5,postgres,0,0,0,0,0
1719463664.490986,4263817,dbt7,0,0,0,0,0
1719463664.490986,1,template1,0,0,0,0,0
1719463664.490986,4,template0,0,0,0,0,0
1719463664.490986,4212858,dbt5,0,0,0,0,0
1719463724.502764,5,postgres,0,0,0,0,0
1719463724.502764,4263817,dbt7,0,0,0,0,0
1719463724.502764,1,template1,0,0,0,0,0
1719463724.502764,4,template0,0,0,0,0,0
1719463724.502764,4212858,dbt5,0,0,0,0,0
1719463784.514179,5,postgres,0,0,0,0,0
1719463784.514179,4263817,dbt7,0,0,0,0,0
1719463784.514179,1,template1,0,0,0,0,0
1719463784.514179,4,template0,0,0,0,0,0
1719463784.514179,4212858,dbt5,0,0,0,0,0
1719463844.523204,5,postgres,0,0,0,0,0
1719463844.523204,4263817,dbt7,0,0,0,0,0
1719463844.523204,1,template1,0,0,0,0,0
1719463844.523204,4,template0,0,0,0,0,0
1719463844.523204,4212858,dbt5,0,0,0,0,0
1719463904.535546,5,postgres,0,0,0,0,0
1719463904.535546,4263817,dbt7,0,0,0,0,0
1719463904.535546,1,template1,0,0,0,0,0
1719463904.535546,4,template0,0,0,0,0,0
1719463904.535546,4212858,dbt5,0,0,0,0,0
1719463964.550496,5,postgres,0,0,0,0,0
1719463964.550496,4263817,dbt7,0,0,0,0,0
1719463964.550496,1,template1,0,0,0,0,0
1719463964.550496,4,template0,0,0,0,0,0
1719463964.550496,4212858,dbt5,0,0,0,0,0
1719464024.559046,5,postgres,0,0,0,0,0
1719464024.559046,4263817,dbt7,0,0,0,0,0
1719464024.559046,1,template1,0,0,0,0,0
1719464024.559046,4,template0,0,0,0,0,0
1719464024.559046,4212858,dbt5,0,0,0,0,0
1719464084.569980,5,postgres,0,0,0,0,0
1719464084.569980,4263817,dbt7,0,0,0,0,0
1719464084.569980,1,template1,0,0,0,0,0
1719464084.569980,4,template0,0,0,0,0,0
1719464084.569980,4212858,dbt5,0,0,0,0,0
1719464144.580282,5,postgres,0,0,0,0,0
1719464144.580282,4263817,dbt7,0,0,0,0,0
1719464144.580282,1,template1,0,0,0,0,0
1719464144.580282,4,template0,0,0,0,0,0
1719464144.580282,4212858,dbt5,0,0,0,0,0
1719464204.591018,5,postgres,0,0,0,0,0
1719464204.591018,4263817,dbt7,0,0,0,0,0
1719464204.591018,1,template1,0,0,0,0,0
1719464204.591018,4,template0,0,0,0,0,0
1719464204.591018,4212858,dbt5,0,0,0,0,0
1719464264.601885,5,postgres,0,0,0,0,0
1719464264.601885,4263817,dbt7,0,0,0,0,0
1719464264.601885,1,template1,0,0,0,0,0
1719464264.601885,4,template0,0,0,0,0,0
1719464264.601885,4212858,dbt5,0,0,0,0,0
1719464324.609654,5,postgres,0,0,0,0,0
1719464324.609654,4263817,dbt7,0,0,0,0,0
1719464324.609654,1,template1,0,0,0,0,0
1719464324.609654,4,template0,0,0,0,0,0
1719464324.609654,4212858,dbt5,0,0,0,0,0
1719464384.618280,5,postgres,0,0,0,0,0
1719464384.618280,4263817,dbt7,0,0,0,0,0
1719464384.618280,1,template1,0,0,0,0,0
1719464384.618280,4,template0,0,0,0,0,0
1719464384.618280,4212858,dbt5,0,0,0,0,0
1719464444.633577,5,postgres,0,0,0,0,0
1719464444.633577,4263817,dbt7,0,0,0,0,0
1719464444.633577,1,template1,0,0,0,0,0
1719464444.633577,4,template0,0,0,0,0,0
1719464444.633577,4212858,dbt5,0,0,0,0,0
1719464504.644473,5,postgres,0,0,0,0,0
1719464504.644473,4263817,dbt7,0,0,0,0,0
1719464504.644473,1,template1,0,0,0,0,0
1719464504.644473,4,template0,0,0,0,0,0
1719464504.644473,4212858,dbt5,0,0,0,0,0
1719464564.652700,5,postgres,0,0,0,0,0
1719464564.652700,4263817,dbt7,0,0,0,0,0
1719464564.652700,1,template1,0,0,0,0,0
1719464564.652700,4,template0,0,0,0,0,0
1719464564.652700,4212858,dbt5,0,0,0,0,0
1719464624.665883,5,postgres,0,0,0,0,0
1719464624.665883,4263817,dbt7,0,0,0,0,0
1719464624.665883,1,template1,0,0,0,0,0
1719464624.665883,4,template0,0,0,0,0,0
1719464624.665883,4212858,dbt5,0,0,0,0,0
1719464684.672397,5,postgres,0,0,0,0,0
1719464684.672397,4263817,dbt7,0,0,0,0,0
1719464684.672397,1,template1,0,0,0,0,0
1719464684.672397,4,template0,0,0,0,0,0
1719464684.672397,4212858,dbt5,0,0,0,0,0
1719464744.684123,5,postgres,0,0,0,0,0
1719464744.684123,4263817,dbt7,0,0,0,0,0
1719464744.684123,1,template1,0,0,0,0,0
1719464744.684123,4,template0,0,0,0,0,0
1719464744.684123,4212858,dbt5,0,0,0,0,0
1719464804.698180,5,postgres,0,0,0,0,0
1719464804.698180,4263817,dbt7,0,0,0,0,0
1719464804.698180,1,template1,0,0,0,0,0
1719464804.698180,4,template0,0,0,0,0,0
1719464804.698180,4212858,dbt5,0,0,0,0,0
